Ids_Prd,R_Csump,All_Emp,NetExports,M1,M2,CPI,^GSPC,Intr_10Y,Moody_aaa,Labor_partic,Imports_Goods,Customs_Duties,GDP_nominal,working_hour_manuf,Ef_Fed_Rate,Unemp,Per_savings,Real GDP,dataset
-0.021751448512772775,-0.005299099086880421,-0.0019484942103442648,0.0,-0.0014316394714377623,0.009973486926759811,0.006777389547596435,0.040048035114395475,-0.023810648693718406,-0.00894860557601418,0.02030526616074546,0.0,0.0,0.0,40.0,3.6966666666666668,5.233333333333333,9.733333333333334,-0.005398116459607749,train
-0.01516246862087689,0.005858539660911877,-0.0022288749729266755,0.0,0.011396134730869534,0.019977739903761282,0.0,-0.04391552633092566,-0.08810726751026698,-0.045985113241823417,0.0,0.0,0.0,0.0,39.666666666666664,2.936666666666667,5.533333333333334,10.233333333333334,0.004887349823633258,train
-0.03467185031248743,-0.010997361522859794,-0.008984120668037221,0.0,-0.0035473609387981497,0.012886776276356926,0.006731765576479809,0.03579399088771673,0.010471299867295558,0.023256862164267256,0.0,0.0,0.0,0.0,39.13333333333333,2.296666666666667,6.266666666666666,10.0,-0.012914343824322216,train
0.0060671079167065045,0.01848849700325017,-0.0015456097526698187,0.0,0.008492620045653432,0.01870991632251595,0.001005867645580416,0.12073782376564601,-0.026386755173194887,-0.03034071705267216,0.0,0.0,0.0,0.0,39.4,2.0033333333333334,6.8,10.866666666666667,0.006727499213381449,train
0.04953595502282093,0.008964815044102181,0.0059088209376945144,0.0,0.007022500769824802,0.018674679025225238,0.0,0.022920385336311355,0.03674954220874138,0.025732413966478074,0.0,0.0,0.0,0.0,39.733333333333334,1.7333333333333334,7.0,10.966666666666667,0.016836022282726404,train
0.019375185528611727,0.006154990636889401,0.007585511387302901,0.0,0.006278360351124945,0.015907340629289557,0.004680717338891416,0.024895288211008726,0.02544666566116427,0.02733655416375025,-0.011794576492836661,0.0,0.0,0.0,39.86666666666667,1.6833333333333333,6.766666666666667,11.666666666666666,0.019021594877155934,train
0.043077829117938116,0.022823813565256756,0.00885965890357987,0.0,0.009688657103748888,0.01804560246917486,0.0010001667778238854,0.06497259605535533,0.01990115431729489,-0.006764400088542066,-0.003395589001138788,0.0,0.0,0.0,40.46666666666667,2.4,6.2,11.633333333333333,0.019426768536790817,train
0.012888323582566752,0.008043573057446629,0.007317526546490427,0.0,0.005494519317641,0.022399993452667744,0.00531739371869433,-0.020407005254272192,-0.03254354773247137,-0.006810469002526798,0.0016992357529597157,0.0,0.0,0.0,40.333333333333336,2.4566666666666666,5.633333333333333,11.566666666666668,0.017679425844058017,train
-0.0010667132960739956,0.006107606488796602,0.0066535284538140615,0.0,0.004101167744214429,0.01790920194838197,0.0013249422276104816,-0.23395846859831249,-0.005102051883895342,-0.025376217493374487,-0.0016992357529597157,0.0,0.0,0.0,40.56666666666667,2.606666666666667,5.533333333333334,11.433333333333332,0.009006860092162228,train
0.01694795793896553,0.017124203090431944,0.005984501206382831,0.0,-0.002048481426472293,0.015904907839664695,0.006927291432566207,0.041709770538325586,0.01774444529907182,0.009302392662313475,0.003395589001138788,0.0,0.0,0.0,40.5,2.8466666666666662,5.566666666666666,11.133333333333333,0.012220688918295863,train
0.005236897383424921,0.013831953494147342,0.0008928093730933284,0.0,0.010200700488023351,0.02173998663640564,-0.0013157896635198618,0.07659016002233265,-0.030614635819606884,-0.018692133012152556,-0.010221554071538463,0.0,0.0,0.0,40.36666666666667,2.9233333333333333,5.533333333333334,10.666666666666666,0.0032886053234335577,train
0.024770598967023716,0.0010212187430123087,0.005198146072986631,0.0,0.009427679255558985,0.021817063867829667,0.004270001560951364,0.0476888320161688,0.017972242404430405,-0.011862535309819844,0.0034188067487859186,0.0,0.0,0.0,40.5,2.966666666666667,5.766666666666667,10.733333333333334,0.010861701822962644,train
