Date,^GSPC
1960-01-31,58.0290002822876
1960-02-29,55.77499980926514
1960-03-31,55.01521749081819
1960-04-30,55.69999980926514
1960-05-31,55.21523793538412
1960-06-30,57.26318168640137
1960-07-31,55.839999771118165
1960-08-31,56.50521717900815
1960-09-30,54.802857535226
1960-10-31,53.743333544049946
1960-11-30,55.48500022888184
1960-12-31,56.8000001453218
1961-01-31,59.72619065784273
1961-02-28,62.172631313926296
1961-03-31,64.08909034729004
1961-04-30,65.93400001525879
1961-05-31,66.4990477789016
1961-06-30,65.57500076293945
1961-07-31,65.43849983215333
1961-08-31,67.78956537661345
1961-09-30,67.22799987792969
1961-10-31,67.92909067327327
1961-11-30,71.07649993896484
1961-12-31,71.74100074768066
1962-01-31,69.06772717562589
1962-02-28,70.22157889918277
1962-03-31,70.29181879216975
1962-04-30,68.05749969482422
1962-05-31,62.994544982910156
1962-06-30,55.62857164655413
1962-07-31,56.96952402024042
1962-08-31,58.52739101907481
1962-09-30,57.997895090203535
1962-10-31,56.16826115483823
1962-11-30,60.04349975585937
1962-12-31,62.6144998550415
1963-01-31,65.06227198514071
1963-02-28,65.92263151469983
1963-03-31,65.67285737537202
1963-04-30,68.75904700869606
1963-05-31,70.13863650235263
1963-06-30,70.10900039672852
1963-07-31,69.0722725608132
1963-08-31,70.98045453158292
1963-09-30,72.84949989318848
1963-10-31,73.02043516739555
1963-11-30,72.62388865152995
1963-12-31,74.17380959647042
1964-01-31,76.45227258855647
1964-02-29,77.39000099583676
1964-03-31,78.79952385312035
1964-04-30,79.9368168223988
1964-05-31,80.7325008392334
1964-06-30,80.2427267594771
1964-07-31,83.22227235273881
1964-08-31,82.0
1964-09-30,83.4085715157645
1964-10-31,84.84863697398792
1964-11-30,85.43842195209704
1964-12-31,83.9600004716353
1965-01-31,86.116499710083
1965-02-28,86.74684143066406
1965-03-31,86.83391272503397
1965-04-30,87.96666681198846
1965-05-31,89.27949981689453
1965-06-30,85.08999980579723
1965-07-31,84.90523856026786
1965-08-31,86.4872720891779
1965-09-30,89.37904721214657
1965-10-31,91.39476194835845
1965-11-30,92.14600067138672
1965-12-31,91.73454492742366
1966-01-31,93.31619008382161
1966-02-28,92.68263244628906
1966-03-31,88.87782552967901
1966-04-30,91.59549980163574
1966-05-31,86.78190467471168
1966-06-30,86.06000033291903
1966-07-31,85.8384994506836
1966-08-31,80.65086928657864
1966-09-30,77.81476157052177
1966-10-31,77.12904793875558
1966-11-30,80.9944995880127
1966-12-31,81.32714298793248
1967-01-31,84.45047614687965
1967-02-28,87.3668417679636
1967-03-31,89.41772738370028
1967-04-30,90.95950012207031
1967-05-31,92.59045479514383
1967-06-30,91.43363709883256
1967-07-31,92.98900032043457
1967-08-31,94.49391273830248
1967-09-30,95.80899925231934
1967-10-31,95.63636363636364
1967-11-30,92.66099967956544
1967-12-31,95.30249977111816
1968-01-31,95.03772700916637
1968-02-29,90.77473650480572
1968-03-31,89.09285699753534
1968-04-30,95.69699974060059
1968-05-31,97.86545493386008
1968-06-30,100.58529438691981
1968-07-31,100.29529436896829
1968-08-31,98.11388863457574
1968-09-30,101.3399990306181
1968-10-31,103.75499979654948
1968-11-30,105.40058809168198
1968-12-31,106.47555584377713
1969-01-31,102.04318271983753
1969-02-28,101.4588885837131
1969-03-31,99.3044994354248
1969-04-30,101.26285661969867
1969-05-31,104.62190500895183
1969-06-30,99.11714281354632
1969-07-31,94.71190461658296
1969-08-31,94.18333289736793
1969-09-30,94.50619034540085
1969-10-31,95.5147824494735
1969-11-30,96.20526323820415
1969-12-31,91.11999997225675
1970-01-31,90.33285704113189
1970-02-28,87.16421107241982
1970-03-31,88.65238117036365
1970-04-30,85.95227154818448
1970-05-31,76.06142897832962
1970-06-30,75.58363619717684
1970-07-31,75.71863659945402
1970-08-31,77.92761848086403
1970-09-30,82.37381054106213
1970-10-31,84.36999997225675
1970-11-30,84.2909999847412
1970-12-31,90.05272813276811
1971-01-31,93.49150009155274
1971-02-28,97.11210511860095
1971-03-31,99.60130442743716
1971-04-30,103.04952348981585
